Caracter  Frecuencia
e         12928
a         10885
o         8976
i         8144
n         7731
s         7468
r         6549
l         5538
t         5387
c         4747
d         4491
u         3929
m         2915
p         2647
´         2109
g         1645
b         1272
,         1149
.         974
y         872
f         799
v         773
h         694
q         517
w         510
z         289
j         238
x         209
ñ         117
k         109
