Caracter  Frecuencia
a         195178
e         178922
o         129826
s         102938
r         90632
n         88953
i         87589
l         84715
d         68277
u         58341
t         54756
c         53220
´         39130
m         37053
p         34485
.         26919
b         26866
,         24688
q         17977
v         15717
g         15408
h         13915
y         13828
f         8623
j         6506
z         5632
ñ         3534
x         1240
k         63
w         19
